Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V = 94.9474312 dB SPL
97,87.8377322,87.8158878,No Data,No Data,31.6879744,-48.04152,
183,88.9219422,88.9028626,No Data,No Data,30.6009994,-52.4216032,
269,89.4799608,89.4598528,No Data,No Data,30.0440094,-50.9067222,
355,90.0535324,90.0344496,No Data,No Data,29.469412,-50.4129456,
441,90.782959,90.7638732,No Data,No Data,28.7399888,-49.1599602,
527,91.1727374,91.1527894,No Data,No Data,28.3510726,-46.7906738,
613,91.3754912,91.3556166,No Data,No Data,28.1482452,-40.8546158,
699,91.6265228,91.6063996,No Data,No Data,27.8974624,-42.5920206,
785,91.802742,91.782855,No Data,No Data,27.7210066,-42.2597734,
871,92.5732574,92.5540346,No Data,No Data,26.9498276,-38.510553,
957,94.0715316,94.052272,No Data,No Data,25.45159,-37.492891,
1043,95.8233308,95.8048278,No Data,No Data,23.6990342,-44.0848754,
1129,97.449829,97.4309068,No Data,No Data,22.0729554,-49.2170732,
1215,98.217827,98.1989962,No Data,No Data,21.304866,-50.8390486,
1301,99.6884568,99.6696976,No Data,No Data,19.8341644,-54.9830008,
1387,101.2019592,101.182991,No Data,No Data,18.3208708,-57.3797098,
1473,102.8918366,102.8730514,No Data,No Data,16.6308106,-60.1167714,
1559,104.9011992,104.8823456,No Data,No Data,14.6215164,-62.3994096,
1645,106.0641968,106.0455124,No Data,No Data,13.4583496,-64.0201668,
1731,108.7046756,108.6857422,No Data,No Data,10.8181198,-66.680438,
1817,111.177739,111.158774,No Data,No Data,8.345088,-66.3810866,
1903,111.428047,111.4094256,No Data,No Data,8.0944364,-63.2808754,
1989,109.2139482,109.1949662,No Data,No Data,10.308896,-57.6462722,
2075,106.6432876,106.6243804,No Data,No Data,12.8794814,-59.9648634,
2161,105.5002884,105.4816344,No Data,No Data,14.0222274,-60.8408426,
2247,103.5434038,103.524701,No Data,No Data,15.979161,-61.0236404,
2333,101.9652816,101.9465868,No Data,No Data,17.5572754,-60.711712,
2419,100.7234618,100.704898,No Data,No Data,18.7989638,-59.4850524,
2505,99.6747696,99.6558654,No Data,No Data,19.8479966,-56.6513808,
2591,99.1894196,99.170491,No Data,No Data,20.333371,-55.9049422,
2677,98.3197292,98.3009446,No Data,No Data,21.2029172,-53.542501,
2763,97.5767076,97.5577316,No Data,No Data,21.9461304,-50.5625456,
2849,96.942311,96.9232222,No Data,No Data,22.5806396,-46.684654,
2935,96.4045212,96.385199,No Data,No Data,23.118663,-41.8285558,
3021,96.1661118,96.1466384,No Data,No Data,23.3572236,-40.2062334,
3107,95.739705,95.7201706,No Data,No Data,23.7836914,-43.0318054,
3193,95.3715272,95.3523162,No Data,No Data,24.1515456,-46.7911242,
3279,95.0563614,95.0377488,No Data,No Data,24.4661132,-49.8163818,
3365,94.7939852,94.7753082,No Data,No Data,24.7285538,-51.464138,
3451,94.6822326,94.6629886,No Data,No Data,24.8408736,-52.4953268,
3537,94.4964172,94.4774584,No Data,No Data,25.026404,-53.7047258,
3623,94.3762542,94.3577194,No Data,No Data,25.1461426,-54.189409,
3709,94.3209642,94.3016634,No Data,No Data,25.2021986,-54.6327248,
3795,94.3005202,94.2810712,No Data,No Data,25.2227904,-54.8565194,
3881,94.3054276,94.2865264,No Data,No Data,25.2173354,-55.1942596,
3967,94.351204,94.332184,No Data,No Data,25.1716782,-55.742238,
4053,94.444522,94.4254056,No Data,No Data,25.0784562,-56.3339644,
4139,94.5837724,94.5648346,No Data,No Data,24.9390274,-57.4201134,
4225,94.7691972,94.7496354,No Data,No Data,24.7542268,-57.328465,
4311,94.8781812,94.8597304,No Data,No Data,24.6441316,-57.7574538,
4397,95.1345626,95.1155046,No Data,No Data,24.3883574,-58.3020532,
4483,95.4382064,95.4189256,No Data,No Data,24.0849366,-57.8286736,
4569,95.7952652,95.7766354,No Data,No Data,23.7272262,-56.8163078,
4655,96.2023634,96.183603,No Data,No Data,23.320259,-56.4677306,
4741,96.426941,96.4085678,No Data,No Data,23.095294,-56.9850982,
4827,96.9255706,96.906607,No Data,No Data,22.597255,-57.0490518,
4913,97.4902374,97.4715102,No Data,No Data,22.0323516,-57.0373528,
4999,98.129834,98.111394,No Data,No Data,21.3924682,-56.377536,
5085,98.8512938,98.832271,No Data,No Data,20.6715912,-56.1269674,
5171,99.2429628,99.224182,No Data,No Data,20.2796798,-56.1332396,
5257,100.1023164,100.0835448,No Data,No Data,19.420317,-55.1483246,
5343,101.0859284,101.0673736,No Data,No Data,18.4364884,-53.8196176,
5429,102.2321074,102.2133042,No Data,No Data,17.2905576,-52.1923248,
5515,103.594026,103.575116,No Data,No Data,15.928746,-50.4289566,
5601,104.3735048,104.354602,No Data,No Data,15.1492596,-49.4519952,
5687,106.1543762,106.1355898,No Data,No Data,13.3682722,-47.6977898,
5773,108.272162,108.2533204,No Data,No Data,11.2505416,-45.6069802,
5859,110.5272764,110.5083816,No Data,No Data,8.9954806,-43.6011642,
5945,111.8528276,111.83385,No Data,No Data,7.6700118,-42.8543052,
6031,111.7336274,111.7146484,No Data,No Data,7.7892136,-43.269149,
6117,110.200795,110.1819184,No Data,No Data,9.3219438,-45.8896362,
6203,108.0489976,108.0302232,No Data,No Data,11.473639,-49.5921622,
6289,105.9916732,105.9729186,No Data,No Data,13.5309434,-53.2493074,
6375,104.1852508,104.1664718,No Data,No Data,15.3373902,-56.4462984,
6461,103.3828446,103.3639818,No Data,No Data,16.1398802,-58.0830056,
6547,101.9281662,101.9092806,No Data,No Data,17.5945814,-60.544491,
6633,100.6594454,100.6405762,No Data,No Data,18.8632856,-62.614621,
6719,99.5388182,99.5194748,No Data,No Data,19.9843872,-64.392563,
6805,98.5410278,98.5220214,No Data,No Data,20.9818406,-66.5891618,
6891,97.640094,97.6213594,No Data,No Data,21.8825028,-68.1427566,
6977,97.2245956,97.2054336,No Data,No Data,22.2984282,-70.9392304,
7063,96.4410826,96.4220962,No Data,No Data,23.0817658,-72.1641174,
7149,95.7255418,95.7065184,No Data,No Data,23.7973436,-71.0590792,
7235,95.072853,95.0544692,No Data,No Data,24.4493928,-70.891197,
7321,94.473924,94.4552582,No Data,No Data,25.048604,-69.6660874,
7407,94.1893418,94.1702452,No Data,No Data,25.3336166,-68.6295288,
7493,93.641034,93.6218536,No Data,No Data,25.8820084,-66.30746,
7579,93.1182982,93.0993668,No Data,No Data,26.4044954,-66.5843734,
7665,92.6164994,92.5974032,No Data,No Data,26.906459,-70.4281846,
7751,92.1322952,92.113922,No Data,No Data,27.38994,-70.734549,
7837,91.8960616,91.8761442,No Data,No Data,27.6277176,-68.9986832,
7923,91.4270676,91.408548,No Data,No Data,28.095314,-68.49806,
8009,90.9662794,90.9473114,No Data,No Data,28.5565504,-69.7800052,
8095,90.5182984,90.4989806,No Data,No Data,29.0048812,-68.5862182,
8181,90.0776336,90.0593536,No Data,No Data,29.4445082,-67.207605,
8267,89.8628294,89.8437776,No Data,No Data,29.6600846,-70.5344878,
8353,89.4457368,89.426979,No Data,No Data,30.076883,-69.214293,
8439,89.057654,89.0385148,No Data,No Data,30.4653472,-68.8572814,
8525,88.6814164,88.6625674,No Data,No Data,30.8412948,-67.412622,
8611,88.2928664,88.2740174,No Data,No Data,31.2298446,-70.9024316,
8697,88.098294,88.0791274,No Data,No Data,31.4247346,-72.1249464,
8783,87.7213454,87.703238,No Data,No Data,31.800624,-70.4766172,
8869,87.3725708,87.3541884,No Data,No Data,32.1496736,-69.5709436,
8955,87.0517304,87.032765,No Data,No Data,32.4710968,-65.2521196,
9041,86.7544786,86.73555,No Data,No Data,32.7683122,-66.378115,
9127,86.6173478,86.598474,No Data,No Data,32.9053878,-66.0560282,
9213,86.36091,86.3407104,No Data,No Data,33.1631514,-65.0923562,
9299,86.133821,86.1150484,No Data,No Data,33.3888136,-65.4547744,
9385,85.9353594,85.9159026,No Data,No Data,33.5879594,-63.5307496,
9471,85.7641784,85.745624,No Data,No Data,33.758238,-64.1270898,
9557,85.6895936,85.670253,No Data,No Data,33.833609,-66.7483704,
9643,85.5614134,85.5417436,No Data,No Data,33.9621184,-63.4983278,
9729,85.467662,85.4482864,No Data,No Data,34.0555756,-64.0310202,
9815,85.4019548,85.382849,No Data,No Data,34.1210128,-71.0827796,
9901,85.3687666,85.3494248,No Data,No Data,34.1544372,-69.966394,
9987,85.357106,85.3370572,No Data,No Data,34.1668042,-63.8684392,
10073,85.3688494,85.3502518,No Data,No Data,34.1536102,-65.2894164,
10159,85.4055206,85.385904,No Data,No Data,34.1179578,-66.2657682,
10245,85.475978,85.4569854,No Data,No Data,34.0468764,-65.861476,
10331,85.572621,85.553139,No Data,No Data,33.9507232,-65.8775496,
10417,85.6325288,85.6128878,No Data,No Data,33.8909744,-68.8495658,
10503,85.76857,85.7476164,No Data,No Data,33.7562454,-65.4339034,
10589,85.925496,85.906981,No Data,No Data,33.596881,-69.918409,
10675,86.1065552,86.0869628,No Data,No Data,33.416899,-62.7031432,
10761,86.300714,86.2804398,No Data,No Data,33.2234222,-64.4992432,
10847,86.4008636,86.381943,No Data,No Data,33.121919,-65.6399046,
10933,86.6058686,86.5866942,No Data,No Data,32.9171678,-66.962436,
11019,86.8127748,86.7934478,No Data,No Data,32.710414,-68.255597,
11105,87.0076066,86.9886064,No Data,No Data,32.5152554,-66.2511796,
11191,87.1762802,87.15645,No Data,No Data,32.3474118,-65.3064974,
11277,87.2500456,87.2302062,No Data,No Data,32.2736556,-65.1309472,
11363,87.3811552,87.3616454,No Data,No Data,32.1422164,-71.529283,
11449,87.5028136,87.4836592,No Data,No Data,32.0202028,-69.0527422,
11535,87.568718,87.5487076,No Data,No Data,31.9551544,-68.6696308,
11621,87.609607,87.5905714,No Data,No Data,31.9132904,-64.1694772,
11707,87.5024552,87.4831924,No Data,No Data,32.0206696,-67.7340264,
11793,87.1677292,87.1475004,No Data,No Data,32.3563614,-71.7774948,
11879,86.247644,86.2279434,No Data,No Data,33.2759184,-68.7123062,
11965,85.6671844,85.647374,No Data,No Data,33.8564878,-70.7102584,
12051,85.196219,85.177028,No Data,No Data,34.326834,-66.217018,
12137,84.7180112,84.698738,No Data,No Data,34.8051238,-63.5160082,
12223,84.4710006,84.4521424,No Data,No Data,35.0517194,-100,
12309,83.9713866,83.9507036,No Data,No Data,35.5531586,-100,
12395,83.4647432,83.444748,No Data,No Data,36.0591142,-100,
12481,82.9642684,82.9443786,No Data,No Data,36.5594832,-100,
12567,82.4775208,82.4574538,No Data,No Data,37.046408,-100,
12653,82.2416396,82.2210754,No Data,No Data,37.2827866,-100,
12739,81.7780104,81.7579926,No Data,No Data,37.7458694,-100,
12825,81.3360442,81.3130706,No Data,No Data,38.1907912,-100,
12911,80.9148388,80.8928862,No Data,No Data,38.6109758,-100,
12997,80.5219956,80.503862,No Data,No Data,39,-100,
