Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V=87.2dB SPL
97,73.4544998,72.264605,No Data,No Data,33.8878424,-54.4934784,
183,75.889765,75.6546714,No Data,No Data,30.497776,-43.5155984,
269,77.3010628,77.2092452,No Data,No Data,28.9432022,-43.4404634,
355,78.2979292,78.2050394,No Data,No Data,27.9474084,-42.8133892,
441,79.815657,79.764318,No Data,No Data,26.3881294,-44.0193112,
527,80.9440306,80.9108582,No Data,No Data,25.2415894,-42.1399812,
613,81.9607576,81.9374938,No Data,No Data,24.2149538,-40.5697732,
699,82.9248506,82.903064,No Data,No Data,23.2493834,-45.0731406,
785,83.4337464,83.3976608,No Data,No Data,22.7547868,-44.9793578,
871,84.6073394,84.5889892,No Data,No Data,21.5634582,-42.3690102,
957,86.2520812,86.2313904,No Data,No Data,19.9210572,-42.1709442,
1043,88.1760328,88.1583054,No Data,No Data,17.9941422,-49.0715468,
1129,90.1842118,90.1647066,No Data,No Data,15.9877412,-53.911187,
1215,91.1750688,91.155966,No Data,No Data,14.9964814,-56.9271866,
1301,93.1205278,93.1021468,No Data,No Data,13.0503006,-59.7100044,
1387,95.1028564,95.0844588,No Data,No Data,11.0679886,-63.2897492,
1473,97.1570176,97.1383422,No Data,No Data,9.0141052,-65.7430688,
1559,99.3015534,99.2822556,No Data,No Data,6.870192,-69.0103502,
1645,100.4259264,100.4070024,No Data,No Data,5.7454452,-69.8690872,
1731,102.7516814,102.7330186,No Data,No Data,3.419429,-72.5869784,
1817,104.4717026,104.45273,No Data,No Data,1.6997176,-72.2507752,
1903,104.0331192,104.0142074,No Data,No Data,2.13824,-70.8592684,
1989,101.864311,101.8452088,No Data,No Data,4.3072388,-66.7861482,
2075,99.5033248,99.4846862,No Data,No Data,6.667761,-66.9165174,
2161,98.4387298,98.419435,No Data,No Data,7.7330122,-67.0352836,
2247,96.5794586,96.5606964,No Data,No Data,9.591751,-64.7065546,
2333,95.0421676,95.0231172,No Data,No Data,11.1293304,-65.7303694,
2419,93.7964874,93.7776276,No Data,No Data,12.3748198,-63.2100112,
2505,92.776509,92.7566254,No Data,No Data,13.395822,-63.1248664,
2591,92.2958376,92.2774352,No Data,No Data,13.8750122,-60.6529558,
2677,91.4205278,91.4013812,No Data,No Data,14.7510666,-57.27881,
2763,90.6671172,90.6475006,No Data,No Data,15.5049468,-55.391172,
2849,90.0229174,90.0044188,No Data,No Data,16.1480286,-50.87716,
2935,89.4701904,89.450711,No Data,No Data,16.7017364,-46.4784186,
3021,89.2244584,89.2052034,No Data,No Data,16.9472444,-45.35548,
3107,88.7881468,88.7697528,No Data,No Data,17.382695,-48.695878,
3193,88.4183686,88.3982332,No Data,No Data,17.7542146,-52.424378,
3279,88.1091416,88.0903824,No Data,No Data,18.062065,-55.3658042,
3365,87.859569,87.8406294,No Data,No Data,18.3118182,-55.5162596,
3451,87.7571152,87.737526,No Data,No Data,18.4149216,-56.9570426,
3537,87.5874542,87.567514,No Data,No Data,18.5849334,-56.921855,
3623,87.4723954,87.4533966,No Data,No Data,18.699051,-58.0549768,
3709,87.417195,87.3982378,No Data,No Data,18.75421,-57.605108,
3795,87.420804,87.4015304,No Data,No Data,18.7509172,-57.5825546,
3881,87.4379748,87.4189744,No Data,No Data,18.733473,-58.3090372,
3967,87.5031356,87.4840408,No Data,No Data,18.6684068,-56.9548918,
4053,87.6186204,87.5991578,No Data,No Data,18.5532898,-58.7468834,
4139,87.7802244,87.75997,No Data,No Data,18.3924772,-58.8239084,
4225,87.9887098,87.9698868,No Data,No Data,18.1825606,-59.2370766,
4311,88.1143508,88.0956514,No Data,No Data,18.0567962,-59.970532,
4397,88.396045,88.3768966,No Data,No Data,17.7755508,-59.6631072,
4483,88.7211412,88.7020782,No Data,No Data,17.4503692,-59.639768,
4569,89.1020494,89.0825044,No Data,No Data,17.0699434,-59.8693336,
4655,89.5391908,89.5203306,No Data,No Data,16.6321168,-59.0855788,
4741,89.771715,89.7524034,No Data,No Data,16.4000442,-59.528125,
4827,90.2953156,90.2766954,No Data,No Data,15.875752,-58.7474706,
4913,90.8791474,90.8604966,No Data,No Data,15.291951,-61.4870622,
4999,91.5447494,91.5253296,No Data,No Data,14.627118,-61.4944268,
5085,92.2937868,92.2749556,No Data,No Data,13.8774916,-62.8076532,
5171,92.6932464,92.6744964,No Data,No Data,13.4779512,-60.9123276,
5257,93.57639,93.5567994,No Data,No Data,12.5956482,-60.8234834,
5343,94.578534,94.5597672,No Data,No Data,11.5926802,-59.2705368,
5429,95.7349134,95.7158432,No Data,No Data,10.4366044,-59.7364828,
5515,97.0964342,97.0774792,No Data,No Data,9.0749676,-58.1167904,
5601,97.8677124,97.8489212,No Data,No Data,8.3035262,-57.4031426,
5687,99.61631,99.5977006,No Data,No Data,6.554747,-56.6419612,
5773,101.6671784,101.64852,No Data,No Data,4.5039278,-55.5421908,
5859,103.8693082,103.850505,No Data,No Data,2.3019426,-54.19433,
5945,105.3324922,105.313565,No Data,No Data,0.8388826,-53.1046998,
6031,105.3437712,105.3249938,No Data,No Data,0.8274536,-53.5049294,
6117,103.9656586,103.9467622,No Data,No Data,2.2056854,-55.5284136,
6203,101.8190112,101.800139,No Data,No Data,4.3523086,-58.7711426,
6289,99.7025162,99.6837402,No Data,No Data,6.4687072,-62.8971808,
6375,97.8141096,97.7953202,No Data,No Data,8.3571272,-65.2719564,
6461,96.9657164,96.9471374,No Data,No Data,9.2053102,-66.9077292,
6547,95.4256834,95.406891,No Data,No Data,10.7455568,-67.2141306,
6633,94.0776916,94.0583984,No Data,No Data,12.094049,-67.7507216,
6719,92.8842164,92.8653136,No Data,No Data,13.2871336,-67.8153974,
6805,91.81586,91.7967484,No Data,No Data,14.355699,-67.9417314,
6891,90.861296,90.842929,No Data,No Data,15.3095186,-68.6023088,
6977,90.4157852,90.3961822,No Data,No Data,15.7562652,-70.1159364,
7063,89.5850662,89.566109,No Data,No Data,16.5863386,-63.1807504,
7149,88.846248,88.8253816,No Data,No Data,17.3270662,-68.4041396,
7235,88.1792998,88.1601042,No Data,No Data,17.992343,-64.0480484,
7321,87.5777848,87.5586672,No Data,No Data,18.5937806,-65.1689208,
7407,87.3038284,87.2847396,No Data,No Data,18.8677078,-66.0625016,
7493,86.7787782,86.7592712,No Data,No Data,19.3931764,-66.085823,
7579,86.2991226,86.2784744,No Data,No Data,19.873973,-63.7295936,
7665,85.8549042,85.834573,No Data,No Data,20.317874,-62.533764,
7751,85.4572176,85.4358002,No Data,No Data,20.7166472,-65.8866712,
7837,85.2673798,85.2463578,No Data,No Data,20.90609,-64.4580712,
7923,84.9169984,84.8955048,No Data,No Data,21.2569428,-64.887217,
8009,84.6045442,84.5852632,No Data,No Data,21.5671844,-63.1715222,
8095,84.3146392,84.2923326,No Data,No Data,21.8601148,-63.1205902,
8181,84.0457932,84.0272064,No Data,No Data,22.1252412,-67.3053504,
8267,83.925015,83.905632,No Data,No Data,22.2468154,-59.9483856,
8353,83.6810426,83.6627228,No Data,No Data,22.4897246,-62.6801644,
8439,83.4734526,83.4498534,No Data,No Data,22.702594,-62.8612756,
8525,83.2945646,83.2744032,No Data,No Data,22.8780444,-63.467401,
8611,83.1035352,83.0589324,No Data,No Data,23.093515,-67.0229324,
8697,83.0227784,82.9336276,No Data,No Data,23.2188202,-64.7378364,
8783,82.7840408,82.6946152,No Data,No Data,23.4578326,-69.8975844,
8869,82.4730254,82.4550126,No Data,No Data,23.697435,-63.3344694,
8955,82.3264738,82.2205368,No Data,No Data,23.9319106,-64.3698364,
9041,82.1016542,82.0039872,No Data,No Data,24.1484602,-60.5151152,
9127,81.9213074,81.89984,No Data,No Data,24.2526078,-68.0950016,
9213,81.7171646,81.696782,No Data,No Data,24.4556656,-65.1582528,
9299,81.5339416,81.5130906,No Data,No Data,24.6393572,-58.7158394,
9385,81.3772736,81.3571184,No Data,No Data,24.7953292,-63.0328714,
9471,81.2351914,81.2163254,No Data,No Data,24.9361222,-61.6744262,
9557,81.1827468,81.1614654,No Data,No Data,24.9909822,-60.725618,
9643,81.0825256,81.0597074,No Data,No Data,25.0927398,-61.562501,
9729,80.9985612,80.9779678,No Data,No Data,25.1744794,-60.9666048,
9815,80.9413314,80.9225386,No Data,No Data,25.2299086,-60.5447726,
9901,80.8976288,80.876854,No Data,No Data,25.2755936,-61.2906534,
9987,80.882425,80.8629762,No Data,No Data,25.2894714,-60.1236908,
10073,80.854996,80.8354994,No Data,No Data,25.316948,-60.0522898,
10159,80.8318086,80.8082186,No Data,No Data,25.3442292,-63.9324618,
10245,80.8177508,80.7964556,No Data,No Data,25.355992,-61.0889322,
10331,80.8004104,80.7794844,No Data,No Data,25.3729632,-58.3664632,
10417,80.7924498,80.772449,No Data,No Data,25.3799988,-60.9085106,
10503,80.7705384,80.74758,No Data,No Data,25.4048676,-65.629174,
10589,80.7446336,80.72265,No Data,No Data,25.4297974,-60.907006,
10675,80.7131196,80.6935088,No Data,No Data,25.4589384,-60.9242736,
10761,80.6739792,80.6516936,No Data,No Data,25.500754,-65.6162566,
10847,80.6456972,80.6241884,No Data,No Data,25.5282592,-60.1134414,
10933,80.5819946,80.5601256,No Data,No Data,25.5923218,-64.3441604,
11019,80.4997222,80.481082,No Data,No Data,25.6713652,-65.3785576,
11105,80.3837054,80.361403,No Data,No Data,25.7910448,-61.7587014,
11191,80.2367264,80.214221,No Data,No Data,25.938226,-59.3584,
11277,80.1447448,80.1235886,No Data,No Data,26.0288588,-60.8789558,
11363,79.963971,79.9429154,No Data,No Data,26.2095322,-61.7317222,
11449,79.7839174,79.7637422,No Data,No Data,26.3887054,-66.5344802,
11535,79.5483078,79.5252304,No Data,No Data,26.6272172,-61.9767274,
11621,79.3236666,79.3005586,No Data,No Data,26.8518892,-65.3463946,
11707,79.1906738,79.1703932,No Data,No Data,26.982054,-66.5279128,
11793,79.092627,79.0699738,No Data,No Data,27.0824738,-65.8241164,
11879,78.4950226,78.473819,No Data,No Data,27.6786286,-62.294056,
11965,77.8387162,77.8175658,No Data,No Data,28.3348816,-67.4173082,
12051,77.3076582,77.2793732,No Data,No Data,28.8730742,-63.7373778,
12137,76.8243394,76.8029188,No Data,No Data,29.3495282,-63.8125542,
12223,76.5902178,76.565117,No Data,No Data,29.5873308,-100,
12309,76.1496536,76.1205324,No Data,No Data,30.0319152,-100,
12395,75.7583802,75.710034,No Data,No Data,30.4424132,-100,
12481,75.3208176,75.2942764,No Data,No Data,30.858171,-100,
12567,74.9292924,74.9040604,No Data,No Data,31.2483874,-100,
12653,74.7515,74.7247392,No Data,No Data,31.4277086,-100,
12739,74.4029616,74.3770554,No Data,No Data,31.7753924,-100,
12825,74.0609238,74.0312514,No Data,No Data,32.1211962,-100,
12911,73.757759,73.7338776,No Data,No Data,32.41857,-100,
12997,73.444255,73.4178346,No Data,No Data,32.734613,-100,
