Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V = 76.0122475 dB SPL
97,69.1624022,69.1188982,No Data,No Data,32.7336288,-38.2006148,
183,70.2956314,70.2234696,No Data,No Data,31.6290572,-40.6843178,
269,70.7710756,70.7285082,No Data,No Data,31.124019,-40.7235832,
355,71.2646302,71.2306106,No Data,No Data,30.6219164,-37.7011062,
441,71.8618332,71.8329648,No Data,No Data,30.019562,-42.8093444,
527,72.3715346,72.3422058,No Data,No Data,29.510321,-40.3097786,
613,72.654184,72.6271774,No Data,No Data,29.2253494,-36.907876,
699,73.0386628,73.0026168,No Data,No Data,28.8499098,-42.190123,
785,73.2910004,73.2437926,No Data,No Data,28.6087342,-45.886973,
871,74.1815506,74.1453812,No Data,No Data,27.7071458,-47.552339,
957,75.288379,75.2526184,No Data,No Data,26.5999084,-46.043901,
1043,76.736116,76.7126098,No Data,No Data,25.139917,-50.6444876,
1129,78.3207794,78.3009736,No Data,No Data,23.5515532,-52.6528954,
1215,79.1265518,79.1078386,No Data,No Data,22.7446884,-53.176808,
1301,80.7241468,80.7021166,No Data,No Data,21.1504104,-54.1391212,
1387,82.3249742,82.3038346,No Data,No Data,19.5486922,-57.6506288,
1473,84.068483,84.0511108,No Data,No Data,17.801416,-57.2693504,
1559,86.1043336,86.0864472,No Data,No Data,15.7660798,-60.7366638,
1645,87.268361,87.2507554,No Data,No Data,14.6017716,-61.1806002,
1731,89.9148956,89.8954924,No Data,No Data,11.9570342,-65.2023756,
1817,92.4156326,92.3972274,No Data,No Data,9.4552994,-67.1659562,
1903,92.7157778,92.6971222,No Data,No Data,9.1554046,-65.2860122,
1989,90.527159,90.5086,No Data,No Data,11.343927,-62.3199976,
2075,87.9685134,87.9485414,No Data,No Data,13.9039856,-60.512568,
2161,86.8297974,86.8100174,No Data,No Data,15.0425094,-62.1320588,
2247,84.877202,84.8563964,No Data,No Data,16.9961304,-60.0916036,
2333,83.2930556,83.2725756,No Data,No Data,18.5799514,-57.2895722,
2419,82.0517654,82.0302932,No Data,No Data,19.8222336,-56.6346916,
2505,81.012073,80.9928758,No Data,No Data,20.859651,-56.1963336,
2591,80.5120116,80.492424,No Data,No Data,21.360103,-54.696257,
2677,79.6379456,79.6142808,No Data,No Data,22.2382462,-53.3755292,
2763,78.8860552,78.8628798,No Data,No Data,22.9896472,-51.6649834,
2849,78.2469116,78.224077,No Data,No Data,23.62845,-48.636599,
2935,77.6947694,77.6741456,No Data,No Data,24.1783814,-48.9313514,
3021,77.4440064,77.4237668,No Data,No Data,24.4287598,-48.1564484,
