Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V = 92.0919251 dB SPL
97,84.171843,84.1580642,No Data,No Data,33.7128874,-45.8721266,
183,85.7905778,85.7755662,No Data,No Data,32.0953858,-51.691754,
269,86.3940232,86.3722762,No Data,No Data,31.4986754,-51.9546656,
355,87.1553162,87.1345794,No Data,No Data,30.7363726,-50.2614874,
441,87.8644654,87.8454376,No Data,No Data,30.0255142,-51.1501676,
527,88.2475556,88.2280424,No Data,No Data,29.642909,-47.8031006,
613,88.5120544,88.4926038,No Data,No Data,29.3783474,-42.7383284,
699,88.8706606,88.8514556,No Data,No Data,29.0194962,-45.3026184,
785,89.0891862,89.068022,No Data,No Data,28.8029298,-44.8553268,
871,89.8746626,89.8564178,No Data,No Data,28.0145342,-40.9120946,
957,91.3122118,91.2924864,No Data,No Data,26.5784652,-40.6155518,
1043,92.8716384,92.8523498,No Data,No Data,25.018602,-46.7527216,
1129,94.4619586,94.4431534,No Data,No Data,23.4277982,-51.7127898,
1215,95.2389602,95.2198212,No Data,No Data,22.6511308,-54.1393776,
1301,96.764993,96.7461166,No Data,No Data,21.1248352,-57.6902908,
1387,98.3570008,98.3383178,No Data,No Data,19.5326342,-60.1364264,
1473,100.171933,100.1534028,No Data,No Data,17.717549,-62.8884422,
1559,102.3474424,102.32894,No Data,No Data,15.542012,-66.088179,
1645,103.6007692,103.5818314,No Data,No Data,14.2891206,-66.9399964,
1731,106.3675034,106.3486158,No Data,No Data,11.5223358,-70.3000336,
1817,108.5278672,108.5090866,No Data,No Data,9.3618652,-70.1005142,
1903,107.8837266,107.8648088,No Data,No Data,10.0061432,-67.6598876,
1989,105.3204406,105.3015062,No Data,No Data,12.569446,-65.1160446,
2075,102.7852938,102.7663866,No Data,No Data,15.1045656,-59.0421176,
2161,101.6841064,101.6653044,No Data,No Data,16.2056474,-54.3313822,
2247,99.8033812,99.7846024,No Data,No Data,18.0863494,-54.0934982,
2333,98.274823,98.2560744,No Data,No Data,19.6148774,-57.8211786,
2419,97.0639496,97.044774,No Data,No Data,20.826178,-58.385961,
2505,96.0573868,96.0382278,No Data,No Data,21.832724,-58.0819596,
2591,95.583348,95.5647202,No Data,No Data,22.3062316,-58.2628768,
2677,94.727704,94.7088884,No Data,No Data,23.1620636,-58.4150786,
2763,93.990756,93.971785,No Data,No Data,23.8991668,-56.0161956,
2849,93.3586622,93.3390366,No Data,No Data,24.5319152,-54.267356,
2935,92.8107974,92.7917602,No Data,No Data,25.0791914,-52.1826568,
3021,92.5642716,92.5457048,No Data,No Data,25.3252474,-49.933358,
3107,92.119409,92.1001756,No Data,No Data,25.7707762,-46.3825228,
3193,91.7343736,91.7140734,No Data,No Data,26.1568788,-41.533197,
3279,91.4031036,91.3836884,No Data,No Data,26.4872636,-38.004335,
3365,91.1169114,91.0974122,No Data,No Data,26.7735396,-42.2183754,
3451,90.9929566,90.974263,No Data,No Data,26.8966888,-44.2766206,
3537,90.772104,90.7533064,No Data,No Data,27.1176454,-47.2795708,
3623,90.6008576,90.5826006,No Data,No Data,27.2883516,-49.0557108,
3709,90.5099488,90.4911044,No Data,No Data,27.3798478,-50.4982864,
3795,90.4311768,90.4123506,No Data,No Data,27.4586012,-51.3264488,
3881,90.4015228,90.3827698,No Data,No Data,27.4881822,-52.1901978,
3967,90.3726166,90.3536056,No Data,No Data,27.5173462,-52.9180406,
4053,90.384778,90.3654298,No Data,No Data,27.5055218,-54.0341774,
4139,90.4283828,90.4092986,No Data,No Data,27.461653,-55.5165344,
4225,90.5103714,90.4904768,No Data,No Data,27.3804748,-56.5930794,
