Frequency,Time_dB_SPL,FFT_dB_SPL,Calibrated_Time_dB_SPL,Calibrated_FFT_dB_SPL,Normalization_dB_SPL,THD,At one kHz 0.1V = 73.248536 dB SPL
97,65.3590338,65.2741448,No Data,No Data,34.3390022,-34.7297982,
183,66.8745758,66.6951414,No Data,No Data,32.9180054,-38.9211258,
269,67.5779692,67.5227034,No Data,No Data,32.0904432,-38.5289748,
355,68.2350634,68.177521,No Data,No Data,31.4356264,-36.755674,
441,68.954721,68.9208404,No Data,No Data,30.6923068,-39.5548468,
527,69.3636978,69.3236754,No Data,No Data,30.2894716,-39.5552514,
613,69.6813798,69.5612426,No Data,No Data,30.0519044,-35.883288,
699,69.9397538,69.8913254,No Data,No Data,29.7218216,-41.4243548,
785,70.2176254,70.176686,No Data,No Data,29.4364608,-42.6944984,
871,71.209761,71.1785538,No Data,No Data,28.4345932,-44.1453822,
957,72.4812212,72.4215042,No Data,No Data,27.1916428,-44.0584428,
1043,74.0158508,73.9835192,No Data,No Data,25.6296282,-47.261689,
1129,75.6043502,75.5726882,No Data,No Data,24.0404586,-48.7609458,
1215,76.3933046,76.370726,No Data,No Data,23.2424212,-52.331575,
1301,77.9385526,77.9144164,No Data,No Data,21.6987306,-50.8479552,
1387,79.5556154,79.5311494,No Data,No Data,20.0819976,-52.7079868,
1473,81.3835312,81.3650986,No Data,No Data,18.2480482,-55.9368178,
1559,83.5816238,83.5602676,No Data,No Data,16.0528794,-55.7033806,
1645,84.8457032,84.8262526,No Data,No Data,14.7868944,-58.9111192,
1731,87.6492432,87.6237884,No Data,No Data,11.9893584,-60.438044,
1817,89.7955216,89.7748564,No Data,No Data,9.8382906,-64.3005998,
1903,89.062497,89.0429352,No Data,No Data,10.5702118,-62.1162494,
1989,86.4500396,86.4310288,No Data,No Data,13.1821182,-59.4345322,
2075,83.911519,83.892053,No Data,No Data,15.7210938,-58.1214324,
2161,82.8134202,82.7924806,No Data,No Data,16.8206668,-55.429183,
2247,80.9367432,80.9138244,No Data,No Data,18.6993226,-54.3160372,
2333,79.4148256,79.3915864,No Data,No Data,20.2215606,-54.6010362,
2419,78.207881,78.1829178,No Data,No Data,21.4302292,-52.8621134,
2505,77.220006,77.1840346,No Data,No Data,22.4291124,-49.6090158,
2591,76.7399002,76.7026184,No Data,No Data,22.9105286,-51.1295784,
